reference,from_in_text_selection,article,quote,coder,page,reference_type
PMC5210542_Jenjaroenpun01,PMC5210542_JWC04,PMC5210542,"Jenjaroenpun,P., Wongsurawat,T., Yenamandra,S.P. andKuznetsov,V.A. (2015) QmRLFS-finder: a model, web server andstand-alone tool for prediction and analysis of R-loop formingsequences.Nucleic Acids Res.,43, W527–W534.",jackchristen,8,publication
a2001-40-MOL_ECOL_Excoffier_1992,a2001-40-MOL_ECOL_RA07,a2001-40-MOL_ECOL,"Excoffier L, Smouse PE, Quattro JM (1992)
    Analysis of molecular variance from metric distances among DNA haplotypes: applica-tion to human mitochondrial DNA restriction data. Genetics,131, 479 – 491.",raghu-achukola,13,publication
PMC1636350_BOUTONNET-1995,PMC1636350_CM59,PMC1636350,"Boutonnet,N.S., Rooman,M.J., Ochagavia,M.E., Richelle,J. andWodak,S.J. (1995) Optimal protein structure alignments by multiplelinkage clustering: application to distantly related proteins.ProteinEng.,8, 647–662.",anneclarisse,11,publication
PMC4812504_Gastwirth_2013,PMC4812504_AN04,PMC4812504,"Gastwirth JL, Gel WL, Wallace Hui WL, Lyubchich V, Miao W, Noguchi K. Lawstat: An R package for biostatistics, public policy and law. R package version 2.4. http://CRANR- projectorg/package=lawstat 2013; Accessed January 2015.",ankimnguyen,4,software
PMC1636350_HUBBARD-1991,PMC1636350_CM13,PMC1636350,"Hubbard,S.J., Campbell,S.F. and Thornton,J.M. (1991) Molecularrecognition. Conformational analysis of limited proteolytic sites andserine proteinase protein inhibitors.J. Mol. Biol.,220, 507–530.",anneclarisse,11,publication
PMC5129524_SeqClean01,PMC5129524_JWC05,PMC5129524,SeqClean.  2011.  Available  at:  http://sourceforge.net/projects/seq-clean/.,jackchristen,17,project_page
PMC4387613_Harris-2009,PMC4387613_HR01,PMC4387613,"21.Harris PA, Taylor R, Thielke R, Payne J, Gonzalez N, Conde JG. Research electronic data capture (REDCap) − a metadata-driven methodology and workflow process for providing translational research informatics support. J Biomed Inform. 2009;42(2):377-81.",henryrossiter,10,publication
PMC3246293_El_Fadly-2011,PMC3246293_JS43,PMC3246293,"El Fadly, A., Rance, B., Lucas, N.,
Mead, C., Chatellier, G., Lastic, P.
Y., Jaulent, M. C., and Daniel, C.
(2011). Integrating clinical research
with the healthcare enterprise: from
the RE-USE project to the EHR4CR
platform. J. Biomed. Inform.
doi:10.1016/j.jbi.2011.07.007.
[Epub ahead of print].",jaskiratsingh23,8,publication
PMC3065992_Swofford-2002,PMC3065992_MZ03,PMC3065992,"Swofford DL (2002). PAUP*. Phylogenetic Analysis Using Parsimony (*and Other Methods). Version 4.0b10 Sinauer Associates, Sunderland.",oceanwall,25,project_name
PMC5210542_Stein01,PMC5210542_JWC21,PMC5210542,"Stein,L.D., Mungall,C., Shu,S., Caudy,M., Mangone,M., Day,A.,Nickerson,E., Stajich,J.E., Harris,T.W., Arva,A.et al.(2002) Thegeneric genome browser: a building block for a model organismsystem database.Genome Res.,12, 1599–1610.",jackchristen,8,publication
10.1080%2F17421772.2011.647058_Anselin-2005,10.1080%2F17421772.2011.647058_TL02,10.1080%2F17421772.2011.647058,"Anselin, L. (2005) Exploring Spatial Data with GeoDaTM: A Workbook. Available at: https://www.geoda.uiuc.edu/
pdf/geodaworkbook.pdf",tonyli0409,35,user_guide
10.1080%2F17421772.2011.647058_Anselin-2006,10.1080%2F17421772.2011.647058_TL02,10.1080%2F17421772.2011.647058,"Anselin, L., Syabri, I. & Kho, Y. (2006) GeoDa: an introduction to spatial data analysis, Geographical Analysis, 38,
522.",tonyli0409,35,project_name
PMC1636350_THOMPSON-1994,PMC1636350_CM31,PMC1636350,"Thompson,J.D., Higgins,D.G. and Gibson,T.J. (1994) CLUSTAL W:improving the sensitivity of progressive multiple sequence alignmentthrough sequence weighting, position-specific gap penalties and weightmatrix choice.Nucleic Acids Res.,22, 4673–4680.",anneclarisse,10,publication
PMC5265988_Trembizki01,PMC5265988_JWC01,PMC5265988,"Trembizki E, Smith H, Lahra MM, et al. High-throughput informativesingle nucleotide polymorphism-based typing of Neisseria gonorrhoeaeusing the Sequenom MassARRAY iPLEX platform. J AntimicrobChemot 2014;69:1526–32.",jackchristen,6,publication
PMC3722356_BB03_Eickhoffet-2007,PMC3722356_BB03,PMC3722356,"Eickhoff SB, Paus T, Caspers S, Grosbras MH, Evans AC, Zilles K, et al.Assignment  of  functional  activations  to  probabilistic  cytoarchitectonicareas revisited. Neuroimage 2007; 36: 511–21.",brentbiglin,12,publication
a2001-40-MOL_ECOL_Posada-1998,a2001-40-MOL_ECOL_JS02,a2001-40-MOL_ECOL,"Posada D, Crandall KA (1998) Modeltest: testing the model ofDNA substitution. Bioinformatics, 14, 817 – 818.",shruthikrish,14,pulication
a2001-40-MOL_ECOL_Posada-1998,a2001-40-MOL_ECOL_JS02,a2001-40-MOL_ECOL,"Posada D, Crandall KA (1998) Modeltest: testing the model ofDNA substitution. Bioinformatics, 14, 817 – 818.",brentbiglin,14,publication
a2001-40-MOL_ECOL_Posada-1998,a2001-40-MOL_ECOL_JS02,a2001-40-MOL_ECOL,"Posada D, Crandall KA (1998) Modeltest: testing the model ofDNA substitution. Bioinformatics, 14, 817 – 818.",mrcyndns,14,publication
a2001-40-MOL_ECOL_Posada-1998,a2001-40-MOL_ECOL_JS02,a2001-40-MOL_ECOL,"Posada D, Crandall KA (1998) Modeltest: testing the model ofDNA substitution. Bioinformatics, 14, 817 – 818.",jcsick,14,publication
PMC3597687_Toedling-2007,PMC3597687_CM04,PMC3597687,"Toedling,J., Skylar,O., Krueger,T., Fischer,J.J., Sperling,S. andHuber,W. (2007) Ringo–an R/Bioconductor package for analyzingChIP-chip readouts.BMC Bioinformatics,8, 221.",anneclarisse,17,publication
PMC3829989_Hawkins_2010,PMC3829989_PS04,PMC3829989,"Hawkins, P.C., Skillman, G.A. Warren, G.L. Ellingson, B.A. and Stahl, M.T. (2010) Conformer generation with OMEGA: algorithm and validation using high quality structures from the protein databank and Cambridge structural database. J. Chem. Inf. Model. 50, 572-584",ppseguel,3,publication
PMC4163634_Reuter-2010,PMC4163634_MD04,PMC4163634,"Reuter JS & Mathews DH (2010) RNAstructure:software for RNA secondary structure prediction andanalysis.BMC Bioinformatics11, 129",mrcyndns,15,publication
PMC3337072_Bolstad01,PMC3337072_JWC06,PMC3337072,"Bolstad BM, Irizarry RA, Astrand M, Speed TP. A comparison of normalization methods for high density oligonucleotide array data based on variance and bias. Bioinformatics 2003;19: 185–193.",jackchristen,9,publication
PMC3013778_Untergasser-2007,PMC3013778_MZ28,PMC3013778,"Untergasser,A., Nijveen,H., Rao,X., Bisseling,T., Geurts,R. andLeunissen,J.A. (2007) Primer3Plus, an enhanced web interface toPrimer3.Nucleic Acids Res.,35, W71–W74.",oceanwall,6,publication
PMC3245093_Good01,PMC3245093_JWC01,PMC3245093,"Good,B.M., Clarke,E.L., de Alfaro,L. and Su,A.I. (2011) TheGene Wiki in 2011: community intelligence applied to humangene annotation.Nucleic Acids Res.,40, D1255–D1261.",jackchristen,4,publication
PMC3722356_Maldjian-2003,PMC3722356_JS03,PMC3722356,"Maldjian JA, Laurienti PJ, Kraft RA, Burdette JH. An automated methodfor  neuroanatomic  and  cytoarchitectonic  atlas-based  interrogation  offMRI data sets. Neuroimage 2003; 19: 1233–9.",jcsick,12,publication
PMC3296922_02_SASINSTI,PMC3296922_02,PMC3296922,"version 9.1.3 software (SAS Institute, Inc., Cary, NC, USA)",sonakshigarg23,2,project_name
PMC5129524_Alexa01,PMC5129524_JWC13,PMC5129524,"Alexa A, Rahnenfuhrer J. 2010. topGO: topGO: enrichment analysisfor gene ontology. R package version 2.20.0.",jackchristen,15,project_name
10.1515%2Fjbnst-2016-1001_Eberle01,10.1515%2Fjbnst-2016-1001_JWC01,10.1515%2Fjbnst-2016-1001,"Eberle, J., D. Müller, J. Heining (forthcoming), A modern job submission application to accessIABs confidential administrative and survey research data. In: Statistics Canada (Ed.),Statistics Canada International Symposium 2016: Growth in Statistical Information:Challenges and Benefits.",jackchristen,13,publication
PMC4667234_Hu01,PMC4667234_JWC01,PMC4667234,"Hu Y, Smyth GK. ELDA: extreme limiting dilution analysis for comparing depleted and enriched populations in stem cell and other assays. J Immunol Methods. 2009;347(1-2):70–8. doi: 10.1016/j.jim.2009.06.008. [PubMed: 19567251]",jackchristen,8,publication
PMC3419515_Rutherford01,PMC3419515_JWC01,PMC3419515,"Rutherford K, et al.2000. Artemis: sequence visualization and annota-tion. Bioinformatics16:944–945.",jackchristen,6,publication
PMC2649809_Nesvizhskii-2003,PMC2649809_JS03,PMC2649809,"Nesvizhskii, A. I., Keller, A., Kolker, E., and Aebersold, R. (2003) A statisticalmodel  for  identifying  proteins  by  tandem  mass  spectrometry.Anal.Chem.75,4646 – 4658",jcsick,15,publication
PMC3808809_Kresse-1996,PMC3808809_SK01,PMC3808809,"Kresse, G. & Furthmiiller, J. Efficiency of ab-initio total energy calculations formetals and semiconductors using a plane-wave basis set.Comput. Mater. Sci.6,15(1996).",shruthikrish,6,publication
PMC3808809_Kresse-1996,PMC3808809_SK01,PMC3808809,"Kresse, G. & Furthmiiller, J. Efficiency of ab-initio total energy calculations formetals and semiconductors using a plane-wave basis set.Comput. Mater. Sci.6,15(1996).",mjsong1201,6,publication
PMC3524521_Carin-2006,PMC3524521_AN01,PMC3524521,"Carin, M. Numerical Simulation of Moving Boundary Problems with the ALE Method: Validation in the Case of a Free Surface and a Moving Solidification Front. Excert from the Proceedings of the COMSOL Conference (2006).",ankimnguyen,13,publication
PMC4166139_Doncaster,PMC4166139_CM02,PMC4166139,"VIVO 10 for Windows [program]. Doncaster, Victoria, Australia.",anneclarisse,8,project_name
PMC5143422_Svergun-1992,PMC5143422_HR12,PMC5143422,54 Svergun DI. Determination of the regularization parameter in indirect-transform methods using perceptual criteria. J Appl Crystallogr 1992; 25:495-503.,henryrossiter,15,publication
PMC3638180_QSR_2011,PMC3638180_RA03,PMC3638180,QSR International.NVivo 9.2. Secondary NVivo 9.2 2011,raghu-achukola,7,project_name
PMC4666316_TZ20_Yefimova_2012,PMC4666316_TZ20,PMC4666316,"Yefimova M, Woods D. Using sensor technology to monitor disruptive behavior of persons with dementia. AAAI Technical Report FS–12-01 Artificial Intelligence for Gerontechnology. 2012:51–54.",realrichardparker,13,publication
PMC4632885_Moyer01,PMC4632885_JWC01,PMC4632885,"19.  Moyer  HR,  Losken  A.  Predicting  mastectomy  skin  flap necrosis  with  indocyanine  green  angiography:  the  gray  area defined. Plast Reconstr Surg. 2012;129(5):1043-1048.",jackchristen,4,publication
PMC3281721_Case01,PMC3281721_JWC09,PMC3281721,"Case, D. A., Darden, T. A., Cheatham, T. E., III, Simmerling, C. L., Wang,J., Duke, R. E., Luo, R., Merz, K. M., Pearlman, D. A., Crowley, M., Walker,R. C., Zhang, W., Wang, B., Hayik, S., Roitberg, A., Seabra, G., Wong, K. F.,Paesani, F., Wu, X., Brozell, S., Tsui, V., Gohlke, H., Yang, L., Tan, C.,Mongan, J., Hornak, V., Cui, G., Beroza, P., Mathews, D. H., Schafmeister,C., Ross, W. S., and Kollman, P. A. (2006)AMBER 9, University of Cali-fornia, San Francisco, CA",jackchristen,12,project_name
PMC1747177_Drysdale-2005,PMC1747177_MS10,PMC1747177,"Drysdale,R.A., Crosby,M.A., Gelbart,W., Campbell,K., Emmert,D.,Matthews,B., Russo,S., Schroeder,A., Smutniak,F., Zhang,P.et al.(2005) FlyBase: genes and gene models.Nucleic Acids Res.,33,D390–D395.",mjsong1201,5,publication
PMC1636350_THOMPSON-1994,PMC1636350_CM24,PMC1636350,"Thompson,J.D., Higgins,D.G. and Gibson,T.J. (1994) CLUSTAL W:improving the sensitivity of progressive multiple sequence alignmentthrough sequence weighting, position-specific gap penalties and weightmatrix choice.Nucleic Acids Res.,22, 4673–4680.",anneclarisse,10,publication
PMC1636350-Katoh-2005,PMC1636350_MS79,PMC1636350,"Katoh,K., Kuma,K., Toh,H. and Miyata,T. (2005) MAFFT version 5:improvement in accuracy of multiple sequence alignment.NucleicAcids Res.,33, 511–518.",mjsong1201,10,publication
PMC5220168_Huangda-2009,PMC5220168_JS07,PMC5220168,"W.Huang da, B.T. Sherman, R.A. Lempicki, Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources, Nat. Protoc.4 (2009) 44-57",jcsick,13,publication
PMC5220168_Huangda-2009,PMC5220168_JS07,PMC5220168,"W.Huang da, B.T. Sherman, R.A. Lempicki, Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources, Nat. Protoc.4 (2009) 44-57",mjsong1201,13,publication
PMC5220168_Huangda-2009,PMC5220168_JS07,PMC5220168,"W. Huang da, B.T. Sherman, R.A. Lempicki, Systematic and integrative analysis oflarge gene lists using DAVID bioinformatics resources, Nat. Protoc. 4 (2009) 44-57.",jcsick,13,publication
PMC5220168_Huangda-2009,PMC5220168_JS07,PMC5220168,"W. Huang da, B.T. Sherman, R.A. Lempicki, Systematic and integrative analysis oflarge gene lists using DAVID bioinformatics resources, Nat. Protoc. 4 (2009) 44-57.",mjsong1201,13,publication
PMC3309518_Rorden-2000,PMC3309518_MS06,PMC3309518,"Rorden C, Brett M. Stereotaxic display of brain lesions.Behav Neurol2000;12: 191–200.",mjsong1201,7,publication
PMC5054108_Nielsen01,PMC5054108_JWC22,PMC5054108,"Nielsen, H. and Krogh, A. 1998.  Prediction of sig-nal peptides and signal anchors by a hidden Markovmodel.Proc.  Int.  Conf.  Intell.  Syst.  Mol.  Biol.6:122-130.",jackchristen,10,publication
PMC4816756_Team-2014,PMC4816756_MZ01,PMC4816756,"Team, R.C., 2014.R: A Language and Environment for Statistical Computing.",oceanwall,10,project_name
10.1111%2Fkykl.12110_Roodman-2009,10.1111%2Fkykl.12110_AN1,10.1111%2Fkykl.12110," Roodman, David (2009). How to Do xtabond2: An Introduction to Difference and System GMM in Stata, Stata Journal. 9: 86-136.",ankimnguyen,32,publication
PMC3400965_Zdobnov-2001,PMC3400965_AN03,PMC3400965,"Zdobnov,E.M. and Apweiler,R. (2001) InterProScan—an integration platform for the signature-recognition methods in InterPro. Bioinformatics, 17, 847–848.",ankimnguyen,2,publication
PMC1636350_DO-2005,PMC1636350_CM28,PMC1636350,"Do,C.B., Mahabhashyam,M.S., Brudno,M. and Batzoglou,S. (2005)ProbCons: probabilistic consistency-based multiple sequencealignment.Genome Res.,15, 330–340.",anneclarisse,11,publication
PMC4790474_Afonine-2012,PMC4790474_TL04,PMC4790474,"Afonine, P.V., Grosse-Kunstleve, R.W., Echols, N., Headd, J.J., Moriarty, N.W.,
Mustyakimov, M., et al. (2012) Towards automated crystallographic
structure refinement with phenix.refine. Acta Crystallogr. D Biol.
Crystallogr. 68: 352–367",tonyli0409,11,publication
PMC3013778_Stothard-2005,PMC3013778_MZ17,PMC3013778,"Stothard,P. and Wishart,D.S. (2005) Circular genomevisualization and exploration using CGView.Bioinformatics,21,537–539.",oceanwall,6,publication
a2001-40-MOL_ECOL_Posada-1998,a2001-40-MOL_ECOL_SK04,a2001-40-MOL_ECOL,"Posada D, Crandall KA (1998) Modeltest: testing the model ofDNA substitution. Bioinformatics, 14, 817 – 818.",shruthikrish,14,pulication
a2001-40-MOL_ECOL_Posada-1998,a2001-40-MOL_ECOL_SK04,a2001-40-MOL_ECOL,"Posada D, Crandall KA (1998) Modeltest: testing the model ofDNA substitution. Bioinformatics, 14, 817 – 818.",brentbiglin,14,publication
a2001-40-MOL_ECOL_Posada-1998,a2001-40-MOL_ECOL_SK04,a2001-40-MOL_ECOL,"Posada D, Crandall KA (1998) Modeltest: testing the model ofDNA substitution. Bioinformatics, 14, 817 – 818.",mrcyndns,14,publication
a2001-40-MOL_ECOL_Posada-1998,a2001-40-MOL_ECOL_SK04,a2001-40-MOL_ECOL,"Posada D, Crandall KA (1998) Modeltest: testing the model ofDNA substitution. Bioinformatics, 14, 817 – 818.",jcsick,14,publication
PMC4666316_Matsuoka_2004,PMC4666316_TZ33,PMC4666316,"Matsuoka, K. Aware home understanding life activities. Paper presented at: Proceedings of 2nd International Conference On Smart Homes and Health Telematic, ICOST; 2004. """,realrichardparker,13,publication
PMC2686489_Ashburner01,PMC2686489_JWC01,PMC2686489,"Ashburner,M., Ball,C.A., Blake,J.A., Botstein,D., Butler,H.,Cherry,J.M., Davis,A.P., Dolinski,K., Dwight,S.S., Eppig,J.T.et al.(2000) Gene ontology: tool for the unification of biology.Nat. Genet.,25, 25–29.",jackchristen,5,publication
PMC4816756_Langfelder-2008,PMC4816756_MZ14,PMC4816756,"Langfelder, P., Horvath, S., 2008.WGCNA: an R package for weighted correlation networkanalysis. BMC Bioinf. 9, 559.",oceanwall,9,publication
PMC3013778_Sevin-2007,PMC3013778_MZ05,PMC3013778,"Sevin,E.W. and Barloy-Hubler,F. (2007) RASTA-Bacteria: aweb-based tool for identifying toxin-antitoxin loci in prokaryotes.Genome Biol.,8, R155.",oceanwall,5,publication
PMC3065992_Posada-1998,PMC3065992_MZ04,PMC3065992,"Posada D, Crandall KA (1998). Modeltest: testing the model of DNA substitution. Bioinformatics14: 817–818.",oceanwall,25,publication
PMC5435914_Hubbard-2007,PMC5435914_TL04,PMC5435914,"Hubbard,T.J.P., Aken,B.L., Beal,K., Ballester,B., Caccamo,M.,
Chen,Y., Clarke,L., Coates,G., Cunningham,F., Cutts,T. et al. (2007)
Ensembl 2007. Nucleic Acids Res., 35, D610–D617",tonyli0409,14,publication
PMC2447753_Will_2007,PMC2447753_TZ43,PMC2447753,"Will,S., Reiche,K., Hofacker,I.L., Stadler,P.F. and Backofen,R.(2007) Inferring non-coding RNA families and classes by means ofgenome-scale structure-based clustering. PLOSComput. Biol.,3.",realrichardparker,5,publication
10.1111%2Fkykl.12165_Verandi-2009,10.1111%2Fkykl.12165_TL01,10.1111%2Fkykl.12165,"Verardi, V., and Croux, C. (2009). Robust Regression in Stata. The Stata Journal. 9, 439–453",tonyli0409,30,publication
PMC5419106_Hammer-2001,PMC5419106_EK02,PMC5419106,"Hammer Ø, Harper DA, Ryan PD. PAST: paleontological sta-tistics software package for education and data analysis. Palae-ontol Electron 2001;4:9-18.",evelynkue,6,publication
PMC3105518_GuexPeitsch-1997,PMC3105518_HR02,PMC3105518,"Guex,  N.,  and  M.C.  Peitsch.  1997.  SWISS-MODEL  and  the  Swiss-PdbViewer:  an  environment  for  comparative  protein  modeling. Electrophoresis. 18:2714–2723.",henryrossiter,12,project_name
PMC3808809_Kresse-1996,PMC3808809_MS01,PMC3808809,"Kresse, G. & Furthmiiller, J. Efficiency of ab-initio total energy calculations formetals and semiconductors using a plane-wave basis set.Comput. Mater. Sci.6,15(1996).",shruthikrish,6,publication
PMC3808809_Kresse-1996,PMC3808809_MS01,PMC3808809,"Kresse, G. & Furthmiiller, J. Efficiency of ab-initio total energy calculations formetals and semiconductors using a plane-wave basis set.Comput. Mater. Sci.6,15(1996).",mjsong1201,6,publication
PMC4163634_BB04_Hajdin-2013,PMC4163634_BB04,PMC4163634,"Hajdin CE, Bellaousov S, Huggins W, Leonard CW,Mathews DH & Weeks KM (2013) Accurate SHAPE-directed RNA secondary structure modeling, including pseudoknots.Proc  Natl  Acad  Sci  USA110, 5498–5503.",brentbiglin,15,publication
PMC2626662_CCC01,PMC2626662_JWC05,PMC2626662,"Collaborative Computational Project, Number 4 .  1994 .  The CCP4 suite: programs for protein crystallography. Acta Crystallogr. D Biol. Crystallogr.50 : 760 – 763 ",jackchristen,11,publication
PMC4816756_Johnson-2007,PMC4816756_MZ06,PMC4816756,"Johnson, W., Li, C., Rabinovic, A., 2007.Adjusting batch effects in microarray expressiondata using empirical Bayes methods. Biostatistics 8, 118–127.",oceanwall,9,publication
10.1257%2Faer.p20161124_Wagner-2014,10.1257%2Faer.p20161124_HR01,10.1257%2Faer.p20161124,"Wagner, Deborah, and Mary Layne. 2014. “The Person Identification Validation System (PVS): Applying the Center for Administrative Records Research and Application’s (CARRA)Record Linkage Software.” CARRA Working Paper Series 2014-01.",henryrossiter,6,publication
PMC5210542_Jenjaroenpun01,PMC5210542_JWC12,PMC5210542,"Jenjaroenpun,P., Wongsurawat,T., Yenamandra,S.P. andKuznetsov,V.A. (2015) QmRLFS-finder: a model, web server andstand-alone tool for prediction and analysis of R-loop formingsequences.Nucleic Acids Res.,43, W527–W534.",jackchristen,8,publication
PMC4066774-Sai_Lakshmi-2008,PMC4066774_MS06,PMC4066774,"Sai Lakshmi,S. and Agrawal,S. (2008) piRNABank: a web resourceon classified and clustered Piwi-interacting RNAs.Nucleic AcidsRes.,36, D173–D177.",mjsong1201,13,publication
PMC3065992_Hulsenbeck-2001,PMC3065992_MZ05,PMC3065992,"Huelsenbeck JP, Ronquist F (2001). MRBAYES: Bayesian inference of phylogeny. Bioinformatics17: 754–755.",oceanwall,25,publication
PMC5226643_Bowring01,PMC5226643_JWC03,PMC5226643,"J.F.Bowring,N.M.McLean,S.A.Bowring,EngineeringcyberinfrastructureforU-Pbgeochronology: Tripoli and U-Pb_Redux.Geochem. Geophys. Geosyst.12,Q0AA19(2011)",jackchristen,7,publication
PMC1636350_THOMPSON-1994,PMC1636350_CM45,PMC1636350,"Thompson,J.D., Higgins,D.G. and Gibson,T.J. (1994) CLUSTAL W:improving the sensitivity of progressive multiple sequence alignmentthrough sequence weighting, position-specific gap penalties and weightmatrix choice.Nucleic Acids Res.,22, 4673–4680.",anneclarisse,10,publication
PMC5050532_Yang-2011,PMC5050532_BB01,PMC5050532,"Yang, J.S., Nam, H.J., Seo, M., Han, S.K., Choi, Y., Nam, H.G., Lee, S.J., and Kim, S. (2011). OASIS: online application for the survival analysis of lifespan assays performed in aging research. PLoS One 6, e23525.",brentbiglin,7,publication
PMC2447753_Siepal_2004,PMC2447753_TZ04,PMC2447753,"Siepel,A. and Haussler.D. (2004) Computational identification ofevolutionarily conserved exons. InResearch in computationalmolecular biology (RECOMB). ACM Press, New York, NY, USA,pp. 177–186.",realrichardparker,4,publication
PMC5435914_Perez-2011,PMC5435914_TL10,PMC5435914,"Perez-Llamas,C. and Lopez-Bigas,N. (2011) Gitools: analysis and
visualisation of genomic data using interactive heat-maps. PLoS One,
6, e19541.",tonyli0409,14,publication
PMC2773253_Gilbert-2002,PMC2773253_TL38,PMC2773253,"Gilbert,D. (2002) Pise: software for building bioinformatics webs. Brief. Bioinform.,
3, 405–409.",tonyli0409,7,publication
PMC3734831_Smyth-2005,PMC3734831_MZ08,PMC3734831,"Smyth GK. Limma: linear models for microarray data. In: Gentleman R, Carey V, Dudoit S,Irizarry R, H W (eds).Bioinformatics and Computational Biology Solutions using R andBioconductor. Springer: New York, pp 397–420, 2005.",oceanwall,14,publication
PMC3590572_Morris-2009,PMC3590572_HR08,PMC3590572,"Morris, G. M., Huey, R., Lindstrom, W., Sanner, M. F., Belew, R. K.,Goodsel, D. S. and Olson, A. (2009) AutoDock4 andAutoDockTools4: automated docking with selective receptorflexibility. J. Comp. Chem.16, 2785–2791",henryrossiter,11,project_name
PMC4375646_JENKINSON-2002-2,PMC4375646_YK07,PMC4375646,"Jenkinson, M., Bannister, P., Brady, M., Smith, S., 2002. Improved optimization
for the robust and accurate linear regis
tration and motion correction of brain
images. Neuroimage 17 (2), 825
–
841",yashkar,9,publication
10.1111%2Fecoj.12284_Greiner2004,10.1111%2Fecoj.12284_MZ02,10.1111%2Fecoj.12284,"Greiner, B. (2004). ‘An online recruitment system for economic experiments’, in (K. Kremer and V. Macho,eds.),Forschung und wissenschaftliches Rechnen 2003. GWDG Bericht63, pp. 79–93, Gesellschaft f€urWissenschaftliche Datenverarbeitung, G€ottingen.",oceanwall,24,publication
PMC5220168_Huangda-2009,PMC5220168_MS06,PMC5220168,"W.Huang da, B.T. Sherman, R.A. Lempicki, Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources, Nat. Protoc.4 (2009) 44-57",jcsick,13,publication
PMC5220168_Huangda-2009,PMC5220168_MS06,PMC5220168,"W.Huang da, B.T. Sherman, R.A. Lempicki, Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources, Nat. Protoc.4 (2009) 44-57",mjsong1201,13,publication
PMC5220168_Huangda-2009,PMC5220168_MS06,PMC5220168,"W. Huang da, B.T. Sherman, R.A. Lempicki, Systematic and integrative analysis oflarge gene lists using DAVID bioinformatics resources, Nat. Protoc. 4 (2009) 44-57.",jcsick,13,publication
PMC5220168_Huangda-2009,PMC5220168_MS06,PMC5220168,"W. Huang da, B.T. Sherman, R.A. Lempicki, Systematic and integrative analysis oflarge gene lists using DAVID bioinformatics resources, Nat. Protoc. 4 (2009) 44-57.",mjsong1201,13,publication
doi-cited:10.1007%2Fs10258-013-0091-1_Doornik-2006,10.1007%2Fs10258-013-0091-1_TL02,10.1007%2Fs10258-013-0091-1,"Doornik JA (2006) An object-oriented matrix programming language – Ox™. Tiberlake Consultants Ltd,
London",tonyli0409,25,project_name
PMC4375646-WOOLRICH-2008,PMC4375646_YK09,PMC4375646,"Woolrich, M., 2008. Robust group analysis using outlier inference. Neuroimage 41 (2),
286
–
301.
",yashkar,9,publication
PMC4375646-WOOLRICH-2004,PMC4375646_YK09,PMC4375646,"Woolrich, M.W., Behrens, T.E., Beckmann, C.F., Jenkinson, M., Smith, S.M., 2004. Multilevel
linear modelling for FMRI group analysis using Bayesian inference. Neuroimage 21
(4), 1732
–
1747
",yashkar,9,publication
PMC4375646-BECKMANN-2003,PMC4375646_YK09,PMC4375646,"Beckmann, C.F., Jenkinson, M., Smith, S.M., 2003. General multilevel linear modeling for
group analysis in FMRI. Neuroimage 20 (2), 1052
–
1063",yashkar,9,publication
PMC2626662_Murshudov01,PMC2626662_JWC09,PMC2626662,"Murshudov ,  G.N. ,  A.A. Vagin , and  E.J. Dodson .  1997 .  Refi nement of macromolecular structures by the maximum-likelihood method. Acta Crystallogr. D Biol. Crystallogr.53 : 240 – 255 .",jackchristen,11,publication
PMC4797302_Duong01,PMC4797302_JWC15,PMC4797302,"Duong,T. (2014)prim: Patient Rule Induction Method (PRIM).Rpackage version 1.0.15.",jackchristen,8,project_name
PMC5435914_Zambelli-2013,PMC5435914_TL12,PMC5435914,"Zambelli,F., Pesole,G. and Pavesi,G. (2013) PscanChIP: finding
over-represented transcription factor-binding site motifs and their
correlations in sequences from ChIP-Seq experiments. Nucleic Acids
Res., 41, W535–W543.",tonyli0409,14,publication
PMC1636350_SHINDYALOV-1998,PMC1636350_CM60,PMC1636350,"Shindyalov,I.N. and Bourne,P.E. (1998) Protein structure alignment byincremental combinatorial extension (CE) of the optimal path.ProteinEng.,11, 739–747.",anneclarisse,11,publication
PMC3630384-Picard-2009,PMC3630384_MS03,PMC3630384,"Picard. Souceforge.net, 2009. Accessed 2012 Nov 30. Avail-able from: http://picard.sourceforge.net/.",mjsong1201,8,user_guide
PMC5091022_EPI-INFO-2015,PMC5091022_BB01,PMC5091022,"EPI-INFO.Versão7.4parawindows,produzidoedistribuídogratuitamentepeloCentrodeControledeDoenc ̧as–CDC;2015.Availablefrom:www.cdc.gov/epiinfo[accessed30.01.15].",brentbiglin,7,project_name
10.3846%2Fjbem.2010.28_Thiessen01,10.3846%2Fjbem.2010.28_JWC14,10.3846%2Fjbem.2010.28,"Thiessen, E. M.; Soberg, A. 2003. Smartsettle described with the montreal taxonomy, Group Decision and Negotiation 12(2): 165–170.",jackchristen,22,publication
PMC4010924_Doyle01,PMC4010924_JWC02,PMC4010924,"Doyle, E. L.et al. TAL Effector-Nucleotide Targeter (TALE-NT) 2.0: tools for TALeffector design and target prediction.Nucleic Acids Res40, W117–W122 (2012)",jackchristen,7,publication
