selection,coder,article,quote,page,mention_type,certainty,memo
PMC1636350_MS31,mjsong1201,PMC1636350,"Although the simplest model HMM_1_1_0 has the samemodel structure as the one used in ProbCons, it gives 3–4% increase  over  ProbCons  for  every  testing  dataset.",5,software,10,"PROBCONS is an efficient protein multiple sequence alignment program, which has demonstrated a statistically significant improvement in accuracy compared to several leading alignment tools."
PMC4280887_MZ01,oceanwall,PMC4280887,"Data analysis was performed using the Tint analysis software(Axona, UK)",2,software,10,In text mention explicity labels it as software
PMC4138420_HR01,henryrossiter,PMC4138420,Data were analyzed using SPSS software version 16.,16,software,10,SPSS is common statistical software
PMC2731890_FJ20,jasleen29,PMC2731890,Detailed examination showed that  92% of additional signals are generated by PlatProm using the same frame for  35 and  10 hexa- nucleotides as position with maximal S,6,software,10,"verified by google, pattern recognition software"
PMC3526355_TL03,tonyli0409,PMC3526355,were analyzed with FCAP Array software (Soft Flow Inc.),13,software,10,used word software
PMC2773253_TL59,tonyli0409,PMC2773253,"The Mobyle server, based on a set of python modules, handles
the various aspects of job, data and session managements. The most
important of these, job submission, includes:",4,software,7,web based environment with tools
PMC3429821_CB03,carsonbrown19,PMC3429821,"All calculations
were generated by SPSS 12.0 for Windows.",3,software,10,SPSS is a common stats program
PMC3939454_SA26,sehreenali,PMC3939454,"Figure 2 depicts the number and percentage of validated predicted subcomplexes for TRIBAL, CACHET and six other methods which combine different scoring and clustering systems, using the meet-min index as comparison criterion.",5,software,10,googled CACHET and said it was a type of software
PMC2935446_AN44,ankimnguyen,PMC2935446," The cross-validated predictions of MFDp are compared to its input predictors, including: DISOPRED2; IUPredL and IUPredS (IUPred predictions for short and long segments); DISOclust; and PROFBval, and with selected other recent methods including the",4,software,10,Google search.
PMC5210542_JWC22,jackchristen,PMC5210542,"In those contexts, a combination of R-loopDBand QmRLFS-finder web server (identifying RLFSs in non-annotated and artificial targeting sequences)",8,software,7,looked it up
PMC4853588_JWC05,jackchristen,PMC4853588,"Spontaneous behaviour was monitored by the auto-mated behavioural acquisition and analysis software‘HomeCageScan’(Clever  Systems  Inc,  Reston,Virginia,  USA)",3,software,10,called software
PMC3627563_HR08,henryrossiter,PMC3627563,which were generatedusing the tool ‘Maq simulation’ in the MAQ package(http://maq.sourceforge.net/,5,software,9,"it is software package, not sure if that counts as software"
PMC1933159_MS36,mjsong1201,PMC1933159,inteRNA: A Web-Based Tool For RNA–RNAInteraction Prediction,3,software,7,"inteRNA is the first program that aims to compute the joint structure prediction of two given RNA sequences through minimizing their total free energy, which, is a function of the topology of the joint structure."
PMC3365791_TZ20,realrichardparker,PMC3365791,"One year prior to our survey, the GP software sup-plier EMIS had sought expressions of interest frompractices wishing to pilot its new online RecordAccess system",3,software,3,Record Access seems to refer to some type of software used to access health records
PMC3138425_TL01,tonyli0409,PMC3138425," Species trees and divergences were taken from
the phastCons tree models estimated from 4-fold degenerate
sites using phyloFit",3,software,6,googled and worded like software
PMC2836542_CT02,ctjoe,PMC2836542,All primers for E2F-1 target genes were designed with the Primer3: WWW primer tool program,3,software,8,Googled and found that it is an online primer program
PMC3130168_EK11,evelynkue,PMC3130168,Sequences were aligned by ClustalW.,5,software,10,Previously determined to be software.
PMC4345719_CM01,anneclarisse,PMC4345719,"Statistical analyses were performed with the software package SPSS 19.0 J for Windows (SPSS Inc., IL, USA).",4,software,10,Explicitly states that it's software.
PMC4966572_CB01,carsonbrown19,PMC4966572,"Statistical analyses were performed using SAS software version
9.30 series (SAS Statistical Institute, Cary, NC, USA).",4,software,10,sas is stats software
PMC4666316_TZ12,realrichardparker,PMC4666316,Support for caregivers can also be provided via web-based video conferencing and/or text-based chat forums.33,4,software,5,web-based video conferencing and text-based chat forums most likely requires software to be used properly
PMC5419106_JWC01,jackchristen,PMC5419106,"Sof tware PAST [10], BoxPlotR (http://boxplot.tyerslab.com/), JASP (https:// jaspstats.org/), G*Power [11] and  LePrep (http://lmrs.univrouen.f r/Persopage/Lecoutre/PAC.htm) have been involved",3,software,10,called software
PMC3935166_MZ04,oceanwall,PMC3935166,"OnlineTED”wasdevelopedatTechnischeUni-versitätMünchen(TUM)basedonHypertextPreprocessor(PHP)with1TechnischeUniversitätMünchen(TUM),InstituteofaMyStructuredQueryLanguage(MySQL)-databaseasserver-andPharmacologyandToxicology,Munich,GermanyJavascriptasclient-sideprogramminglanguages.",1,software,10,itm refers to a well known coding language
PMC5435264_HR1,henryrossiter,PMC5435264,Frequency and proportion was used to summarise theanalytic outputs using MS Excel,3,software,10,heard of it before
PMC2677890_JWC05,jackchristen,PMC2677890,"Clone-redundancy was tested with the DNA Star Software(DNAstar inc., Madison, WI). ",5,software,10,called software
PMC4740966_JWC01,jackchristen,PMC4740966,"Statistical analyses were performed with SAS software, version 9.3 (SAS Institute, Inc., Cary, NC) and the Joinpoint   Regression   Program,   version 4.0.1.",3,software,10,called software
PMC3130168_EK05,evelynkue,PMC3130168,Automatedhomology model building of the DNA-binding domain wasperformed using the protein structure modelling program MOD-ELLER which models protein tertiary structure by satisfaction ofspatial restraints.,4,software,10,"The authors call it a program, which we know to be software."
PMC2773253_TL64,tonyli0409,PMC2773253,"This
feature facilitates user access to services physically distributed over
different Mobyle servers, within an integrated environment enabling
data reuse and program chaining. ",5,software,7,web based environment with tools
PMC5293436_TL01,tonyli0409,PMC5293436,"The mean deviation in the
Humphrey Visual Field Analyzer (Carl Zeiss Meditec Inc.,
Dublin, CA) (24–2, SITA fast program) was 27.83 db in the
right and 4.28 db in the left. Therefore",1,hardware,10,googled
PMC2936008_JWC01,jackchristen,PMC2936008,"Statistical analysis was performed using the program SPSS, version 14.",2,software,9,called program
PMC3035800_SK01,shruthikrish,PMC3035800,"Our algorithm is implemented in thect3dpackage,which is available under http://www.picb.ac.cn/patterns/Software/ct3d",1,software,7,followed the link and link indicates software
PMC3223056_MS06,mjsong1201,PMC3223056,Haplotypes wereinferred using the softwareHAPat default parameters (http://research.calit2.net/hap).,4,software,7,it says HAP is a software
PMC3773590_SK01,shruthikrish,PMC3773590,"Statistical analyses were performed by using IBM SPSS ver. 18.0 (IBM Co., Armonk, NY, USA). ",3,software,9,has version number
PMC4555593_CT01,ctjoe,PMC4555593,"Descriptive statistical analysis was performed using Microsoft Excel (Microsoft Corp, Redmond, Washington,USA) and SPSS statistics v22 (IBM Corp, Armonk, NewYork, USA",3,software,10,Mentiones in the article that it is software
PMC4505989_AN01,ankimnguyen,PMC4505989,"We used survey data analysis methods in the STATA Corp. 2011, STATA Statistical Software (Release 12. College Station, TX: STATA Corp LP. Package). Moreover, descrip-tive analysis was used to determine the percentage of ab-dominal obesity, overweight and general obesity among children and adolescents.",2,software,10,Stated in article.
PMC4375646_YK03,yashkar,PMC4375646,"MRI data processing was carried out using FEAT [FMRI Expert
Analysis Tool, Version 6.00, part of FSL (FMRIB
3
s Software Library",4,software,10,Googled
PMC4583706_MS02,mjsong1201,PMC4583706,Microarray data was analyzed by minfi[10]and shinyMethyl[11]packages available through Bioconductor[12].,2,software,8,Minfi: a flexible and comprehensive Bioconductor package for the analysis of Infinium DNA methylation microarrays.
PMC2781407_FJ01,jasleen29,PMC2781407,"Statistical analyses were performed with PRISM software (Graph-Pad Software, San Diego. CA) by using the unpaired Student’s t test for pairwise comparisons.",2,software,10,verified
PMC3692048_HR38,henryrossiter,PMC3692048,The Taverna Plug-inand the integration of cutting-edge workflows in the webinterface provide the missing link between experimentalresults and state-of-the-art functional meta-analyses,4,software,10,plug in to their software
PMC4066774_MS01,mjsong1201,PMC4066774,Real-time image analysis and basecalling were performed on the instrument using the HiSeq Sequencing Control Software.,3,software,10,it says software
PMC5390613_MS04,mjsong1201,PMC5390613,"To measure hepatic fibrosis quantitatively, we developed a MATLAB (R2012a, MathWorks, Natick, MA, USA)-based software to calculate a CV map, as suggested by Li et al. (21). ",3,software,10,the easiest and most productive software environment for engineers and scientists
PMC4147369_JWC01,jackchristen,PMC4147369,"Whole-cell currents were recorded from DIV8–10 neuronsat room temperature, using an Axopatch 200B amplifier and pClamp softwareversion 10.0 (Axon Instruments).",7,software,10,called software
PMC2652046_EK10,evelynkue,PMC2652046,"In addition, several different types of proteindomain prediction software revealed that MITS1 containsan AAA-ATPase motif ",6,software,8,"The authors say a software predicted a structure, so I assume that they used that software."
PMC5054038_TZ07,realrichardparker,PMC5054038,"The routine is implemented in  Java using the supplied   pseudo random number   generator   and the transformation  function  Ijava.util.Random.next Gaussian()], which implements the Polar  Method by Box et al [http://java.sun.com/j2se/l.4.2/docs/api/ java/util/Random.html#nextGaussian()] . ",18,software,10,nextGaussian() is a method within the Java standard libary
PMC4025442_PS03,ppseguel,PMC4025442,"Analyses will be performed using SAS Version 9.3, Stata Version 12 and R Version 3.1.0",9,software,10,statistical software analisis
PMC4623144_AN02,ankimnguyen,PMC4623144,"The data are presented as the means ± SD from three replicate experiments. Differences were evaluated using the Student’s t test following one-way ANOVA with the SPSS 16.0 software (SPSS, Chicago, IL, USA). P < 0.05 was regarded as statistically signi cant",3,software,10,Stated in article.
PMC5339831_SK07,shruthikrish,PMC5339831,Phosphopeptide matches were analyzed by using PhosphoRS im-plemented in Proteome Discoverer and manually curated [58].,20,software,8,googled and found version numbers with download instructions
PMC3769723_MS03,mjsong1201,PMC3769723,Growth differences of the strains for culture periods in different culture media. The z values were obtained from variance analysis (Kruskal-Wallis test)and confirmed by Dunn post hoc test (BioEstat 4.0 software).,4,software,10,it says software
PMC5210605_CB03,carsonbrown19,PMC5210605,"Besides, RNA homology, sequence
and interaction data have also been integrated
into RNALocate.",1,software,10,RNALocate is a software
PMC5291331_MP05,meganpearson,PMC5291331,Fourier  transform  infrared  spectroscopy  (FT-IR)  studies were carried out using a Bruker Vertex 70 spectrophotometer.,3,hardware,9,googled it
PMC4585391_AN01,ankimnguyen,PMC4585391,"Furthermore the adjusted e ect of di erent factors [gender, age, body mass index (BMI z-score)] on GET, levels of GHR and OB, GHR/OB (pre- and postprandial) was explored using multiple regression analysis. Statistical analyses were performed with SPSS version 17.0 software (SPSS Inc, Chicago, IL). P values <0.05 were considered statistically signi cant.",2,software,10,Stated in article.
PMC3692048_HR21,henryrossiter,PMC3692048,"DIANA-microT  web  server  v5.0  hosts  numerousintegrated analyses in the form of ready-made advancedpipelines,",2,software,10,coded earlier in article
PMC3220261_BB01,brentbiglin,PMC3220261,"All data were entered into the Statistical Program for Social Sciences (SPSS®, version 18.0).",2,software,10,statistics program
PMC2447753_TZ07,realrichardparker,PMC2447753,"This ideais exploited in Exoniphy (5) for exon detection, in RNAz(6) or Evofold (7) for structural RNA prediction or inQrna (8), that implements both a coding and an non-coding model for RNAs. ",1,software,10,Googling inQrna finds the project page
PMC4675898_EK01,evelynkue,PMC4675898,P-labeled  MBP  bands  were  quantified  using  ImageJ  software  and  normalized  by  taking  the  radio-activity of the band in the absence of ABA as 1.,11,software,10,"Author calls it software, and I know it's software based on other articles."
PMC5478307_MS02,mjsong1201,PMC5478307,"The Short Oligonucleotide Analysis Package(SOAPsnp) and the Genome Analysis Toolkit were used todiscover single-nucleotide polymorphism and insertion-deletion,respectively.",3,software,8,GATK
PMC4397380_TZ03,realrichardparker,PMC4397380,Phylogenetic analysis wascarried out by the neighbor-joining method using MEGAsoftware [17] with the Kimura 2-parameter model.,2,software,10,explicit mention of MEGA as software
PMC1636350_CM124,anneclarisse,PMC1636350,"Second, we have estimated model parameters from DaliLite structural alignments of divergent SCOP domains (<40% identity), while the training data of ProbCons are from BAliBASE2.0.",8,software,10,Google
PMC5266189_CB02,courtneybroderick,PMC5266189,"All statistical analyses were perfromed using SPSS 17.0 (SPSS, Chicago, IL) for statistical software for Windows.",3,Software,10,Second mention of earlier software.
PMC3357263_AN01,ankimnguyen,PMC3357263,Pathway analysis was performed using Ingenuity Pathways Knowledge Base version 8.8 (Ingenuity Systems) as reference set and assuming direct and in- direct relationships.,3,software,8,"Has version number, Website describes its function of analysis matching. I am infering."
PMC5054108_JWC19,jackchristen,PMC5054108,We did not compare FragAnchorwith DGPI because the design of this tool makes largedataset analysis difficult.,4,software,8,looked it up
PMC5065646_HR01,henryrossiter,PMC5065646,"contained in thedatabase by standard pattern matching (with default parametersettings),  with  MALDI  BioTyper  database  software  2.0(Bruker)",2,software,10,says software in quote
PMC3939454_SA22,sehreenali,PMC3939454,The results show that CACHET has the best F-measure inboth cases.,5,software,10,googled CACHET and said it was a software
PMC4449848_EK01,evelynkue,PMC4449848,"After the final scan, the PhPlate software (PhPWin 4.2) was used to create the absorbance data (biochemi-cal fingerprint) from the scanned images.",2,software,10,Authors said it was software.
PMC3939454_SA42,sehreenali,PMC3939454,"All analyses in this paper were performed using R v.2.15.2 and some of its packages, including ‘‘iRefR’’ v.1.0012, ‘‘igraph’’ v.0.64, and ‘‘org.Sc.sgd.db’’ v.2.9.1.",7,software,10,googled it and said it was a package of the software
PMC3020393_BB03,brentbiglin,PMC3020393,Datawere  analyzed with SASversion 11.0sta-tistical software,4,software,10,it says it's software
PMC5372019_TL01,tonyli0409,PMC5372019,"Simultaneously, the delay is estimated and the cf-PWV is
calculated by the integral software automatically (m/s)",4,software,10,word software used
PMC4396969_MS01,mjsong1201,PMC4396969,WeperformedtheFACsortingonanARIAIIFlowCytometer(FACSDivasoftware).,10,software,9,a collection of rich tools for flow cytometer and application setup
PMC3384331_MZ03,oceanwall,PMC3384331,"The  genome  sequences  were  annotated  usingDNAMaster   (http://cobamide2.bio.pitt.edu,   version5.22.2), pDRAW32 and GeneMark.hmm for Prokaryotes(version 2.8).",3,software,10,"googled software name, confirmed status"
PMC3173807_MP02,mprabhudesai,PMC3173807,"the tools UNAIDS prepares to assist countries in analysing their epidemics, EPP and Spectrum,",1,software,8,Spectrum is software used to produce estimates of HIV
PMC5390613_MS05,mjsong1201,PMC5390613,"To measure hepatic fibrosis quantitatively, we developed a MATLAB (R2012a, MathWorks, Natick, MA, USA)-based software to calculate a CV map, as suggested by Li et al. (21). ",3,software,10,their own software based on MATLAB
PMC4987885_EK13,evelynkue,PMC4987885,The newversion of our fragment-based web-application for loopmodeling SL2 thus has an improved performance in loopprediction as well as an up-to-date visualization.,2,software,10,Previously determined to be software.
PMC3384331_MZ16,oceanwall,PMC3384331,Coiled-coilregions were predicted using Coil tool (35).,3,software,10,"googled software name, confirmed status"
PMC5458338_BB02,brentbiglin,PMC5458338,By using the Matlab func-tionsvmtrain,8,software,10,I know Matlab is software
PMC4826955_MZ01,oceanwall,PMC4826955,Cartilage was manually segmented on MRI 3D DESSsequences and models were created using Mimics Software(Materialise),2,software,10,itm explicitly refers to it as software
PMC2773253_TL99,tonyli0409,PMC2773253,", and does
not provide any of the advanced workflow patterns included in
previously described systems (Taverna, Kepler) ",6,software,10,googled
PMC4225645_YK01,yashkar,PMC4225645,"Statistical analyses were performed with the aid of
SAS software (version 9.1; SAS Institute, Cary, NC,
USA). ",3,software,10,Googled and confirmed
PMC4584013_CT03,ctjoe,PMC4584013,The gene chips were washed and stained using the Affymetrix Fluidics Station 450 and Genechip Operating Software and scanned by means of an Affymetrix GeneArray scanner.,2,software,10,Mentioned in the article that it is software
PMC3939454_SA51,sehreenali,PMC3939454,"Both TRIBAL and its evaluations were coded using R 2.15.2 and its packages ‘‘iRefR’’ and ‘‘igraph’’, and they are available as Supplementary code.",8,algorithm,10,googled TRIBAL and it said it was an algorithm
PMC4411514_CB02,carsonbrown19,PMC4411514,"All data were analyzed
using Prism software (GraphPadPrism4, San Diego, CA,
USA).",3,software,10,"Googled Prism, it is an actual software."
PMC4408226_CB01,courtneybroderick,PMC4408226,"Briefly,
counterions were removed, whereas specific chemotypes such as aromatic and nitro groups
were normalized using the ChemAxon Standardizer (v.5.3, ChemAxon, Budapest, Hungary,
http://www.chemaxon.com). ",4,software,10,Authors and Google search confirm its software.
PMC4123385_HR05,henryrossiter,PMC4123385,Eighteen sequences were found to have potential functions by BLASTX or GO analysis .,3,software,10,Googled it
PMC4323784_TL01,tonyli0409,PMC4323784,"All tests were performed using R statistical software
(version 3.0.1).42",3,software,10,word software used
PMC4354499_MS01,mjsong1201,PMC4354499,Check oligo parameters using an oligo analyzer program.,2,software,5,it seems like a software
PMC1636350_MS137,mjsong1201,PMC1636350,"Many  alignments  produced  by  the  tested  pro-grams  did  produce  structurally  meaningful  results,  but  theyhad zero scores because they matched different repeats thanthose aligned by DaliLite.",10,software,10,DaliLite computes optimal and suboptimal structural alignments between two protein structures.
PMC1636350_MS89,mjsong1201,PMC1636350,MUMMALS  shows  improvement  over  MAFFT  and  Prob-Cons  by  only  a  few  percent  in  terms  of  average  alignmentquality  scores  on  various  testing  datasets.,7,software,10,MAFFT is a multiple sequence alignment program for unix-like operating systems.
PMC4361860_EK02,evelynkue,PMC4361860,"All statistical analyses were performed with R software using the packages cmprsk,survival and riskRegression",6,software,10,R software has been mentioned before in previous articles as software.
PMC5029575_CB02,carsonbrown19,PMC5029575,"Statistical analyses and preparation of summary tables
and graphics were performed using Statistical Analysis
System (SAS, version 9.1.3 for Windows) and SAS JMP
(version 9.0.0 for Windows).",4,software,10,sas jmp is also for stats
PMC5238813_SK08,shruthikrish,PMC5238813,Errors  exhibited  by  individual trees  are  collectively  representative  of  the  generalization error of the randomForest model.26,3,software,8,package for R
PMC4042634_FJ01,jasleen29,PMC4042634,"A careful analysis of this region using Transcription Element Search Software identied two putative binding sites for Blimp-1 (B lymphocyte-induced maturation protein-1), a DNA-binding factor that is critical for the di erentiation of myeloid cells",11,software,10,verified
PMC3589720_EK03,evelynkue,PMC3589720,"Within each group, genes were sortedusing hierarchical clustering, TMEV, ver 3.1",6,software,10,"It is some sort of software suite, according to Google."
PMC2626662_JWC13,jackchristen,PMC2626662,Sub-sequent model building was conducted using the COOT software ( 42 ),9,software,10,called software
PMC3710983_TL01,tonyli0409,PMC3710983,"e level in all analyses. Analyses were undertaken in
Stata, V.11.20",4,software,10,googled
PMC3835222_HR04,henryrossiter,PMC3835222,"All analyses were performed offline ondedicated workstations running AW SDC 4.4 and IDL version6.3 with ReportCARD version 3.6 by fully blinded observerswith excellent reproducibility (r=0.98) for infarct size assess-ment.26,29",4,software,7,sounds like software but couldn't find anything on google.
PMC4998785_BB03,brentbiglin,PMC4998785,"correlation between repeated measures of 0.70 at 5%significance level (nQuery Advisor 4.0, Janet D Elashoff 2000)",3,software,7,"from Google search, appears to be statistical software"
PMC4475901_FJ01,jasleen29,PMC4475901,Densitometry analyses were performed using NIH ImageJ software and the data are expressed as % volume in pixels.,2,software,10,verified
PMC3734831_MZ09,oceanwall,PMC3734831,"Gene lists and log2 expression fold-changeswere   uploaded   into   the   IPA   tool   (Ingenuity   Systems,   www.ingenuity.com).",13,software,10,previously established that IPA was a software
PMC3281721_JWC10,jackchristen,PMC3281721,"he immunostained cells wereimaged using a fluorescent microscope IX81 (OlympusCorp., Tokyo, Japan) with a100 oil, NA 1.40 objective orwith a40, NA 0.95 objective, and MetaMorph Software(Molecular Devices, Sunnyvale, CA).",4,software,10,called software
PMC3589687_JWC14,jackchristen,PMC3589687,"Mediman,theexampleprojectthatwasusedmainlytodemonstratethepotentialandfeasibilityoftherealisationofasmallandsimplelearningapplicationforsmart-phones",10,software,8,context of paper
PMC5054108_JWC06,jackchristen,PMC5054108,"Currently, there exist three different predictorspublicly available:  big-π(15) from the Universityof Vienna (available in two versions, one for meta-zoa and one for protozoa), DGPI from the Universityof Geneva (retrieved from http://129.194.185.165/dgpi/), and the large-scale annotator GPI-SOM (16)from the University of Bern. ",3,software,8,looked it up
PMC5054108_JWC50,jackchristen,PMC5054108,"However,it reveals an interesting power of prediction where, ina single run, FragAnchor can have a very low num-ber of potential false positive",5,software,8,context
PMC2652046_EK06,evelynkue,PMC2652046,The simulation of the Helical Wheel Projection of theMITS1 N-terminal was from http://rzlab.ucr.edu/scripts/wheel/wheel.cgi,2,software,7,"This is a website, so I consider it software."
PMC4027884_RA04,raghu-achukola,PMC4027884,We first used the built-in mathematical fit function ofMicrosoft Excel (2013) to obtain the best-fit curves among available models,5,software,10,Excel is
PMC2927682_CF01,caifand,PMC2927682,"Pairwise tagging single nucleotide polymorphisms (SNPs, r2≥0.8) with a minor allele frequency ≥5% were selected for CRH, CRHBP, CRHR1, POMC, MC2R, NR3C1 and SERPINA6and their 10 kb fl anking regions using Tagger.",2,software,10,The first letter is capitalized and the verb preceding it indicates it is a tool being used. Further googled it for sure
PMC5210542_JWC13,jackchristen,PMC5210542,"Using the Ensembl gene annotation system (25)inR-loopDB, ",3,software,7,looked it up
PMC3717207_CB01,carsonbrown19,PMC3717207,"To date, the MGP has generated
more than 900 lines of mutants using KOMP/EUCOMM
resources (http://www.sanger.ac.uk/mouseportal/), and here,
we describe the analysis of 489 of these for viability and fertility
and 250 lines that have passed through a systematic screen
for adult phenotypes, providing a glimpse into the wealth of biological
insight that will emerge from these programs.",2,other,10,I googled KOMP/EUCOMM and it is a dataset/organization? Not software.
PMC3140372_JWC02,jackchristen,PMC3140372,In our context the on-line   communication   software   Skype   (http://www.skype.com) and the word processing applicationGoogle Docs (http://www.google.com/google-d-s/intl/de/tour1.html) were used.,7,software,10,called software
PMC4790474_TL03,tonyli0409,PMC4790474,"The PvHCT2a–p-coumaroyl-CoA–shikimate structure was determined
by the molecular-replacement method with the program PHASER (McCoy
et al. 2007) using the SbHCT structure (PDB ID 4KE4) (Walker et al. 2013)",9,software,10,word program used
PMC5293311_JWC04,jackchristen,PMC5293311,"free transverse rectus abdominis myocutaneous (TRAM) flap breast reconstruction, using BREAST-Q 11 to appraise patient-reported outcomes.",2,software,33,looked it up
PMC3490414_JWC02,jackchristen,PMC3490414,"Putative signal se-quences and transmembrane domains in the coding regionswere identified by SignalP 3.0 and TMHMM 2.0 (http://www.cbs.dtu.dk/services/), respectively.",3,software,7,looked it up
PMC3595621_MS02,mjsong1201,PMC3595621,The  data  file  was constructed in Microsoft Exceland analyzed using Statistical Package for the Social Sciences Version 12.0 and the results presented.,2,software,10,it is statistical software
PMC2686461_EK01,evelynkue,PMC2686461,Network graphics are all automaticallyconstructed  from  the  underlying  data  using  theGraphViz package (8).,5,software,10,It is a graph visualizing software according to Google.
PMC4236336_HR04,henryrossiter,PMC4236336,"Statistical analysis was performed using SPSS 19.0 (IBM, Chicago, IL, USA) and MedCalc 12.4.0 (MedCalc Software, Mariakerke, Belgium)",2,software,10,I know this is software from personal experience
PMC3589687_JWC09,jackchristen,PMC3589687,ThedataanalysiswasperformedwithMicrosoftExcel.,8,software,9,looked it up
PMC4568868_AN01,ankimnguyen,PMC4568868,"the data was subjected to analysis of variance, using the statistical program SISVAR software(Ferreira, 2011).",3,software,10,Stated in article.
PMC5359137_AM02,ambermomin,PMC5359137,All other analyses used Stata version 13.,3,software,10,Google
PMC4437485_JWC03,jackchristen,PMC4437485,"Currents were filtered at 2 kHz, acquired, and digitizedat 10 kHz using Clampex10.3 (Molecular Devices).",12,software,7,looked it up
PMC3490414_JWC06,jackchristen,PMC3490414,An  application  based  on  the  NetBeans  Platform  (http://platform.netbeans.org)  was  developed  to  search  for  MRE-likemotifs in 300 bp of the upstream,3,software,9,called an application
PMC5390613_JWC10,jackchristen,PMC5390613,HB phase MR image were obtained in Digital Imaging and Communications in Medicine format and stored on console containing the MATLAB-based program,4,software,10,was called a program
PMC4069613_HR03,henryrossiter,PMC4069613,converted  into  a  “bam”  file  using  samtools  version  0.1.18(Li et al. 2009).,13,software,10,file converter
PMC5113931_MD02,mrcyndns,PMC5113931,Statistical analysis was carried out using Review Manager 5.3.0. The changes in seven f,2,software,8,has version number and is used for statistical analysis
PMC5238813_SK18,shruthikrish,PMC5238813,"rgp offers various options for initial-ization, variation, and selection procedures inherent in GP.",4,software,8,package for R
PMC1933234_FJ03,jasleen29,PMC1933234,"Recently, two CRISPR- dedicated software tools were proposed, CRT (http://www.room220.com/crt) and PILER-CR (25)",2,software,10,verified
PMC3003812_CM01,anneclarisse,PMC3003812,"Regression  coefficients  and  bivariate  correlations  werecalculated with the 11.0 Sigma Plot software package (SPSS,Chicago, IL, USA)",4,software,10,It's explicitly state in the text that it's software.
PMC5210605_CB27,carsonbrown19,PMC5210605,"Among
these, more than 1400 entries were collected from lncRNAdb,
PomBase, FlyBase, TAIR and DOT databases.",2,software,10,it's a rna database manager software
PMC4295086_JWC01,jackchristen,PMC4295086,Maps were generated with ArcGIS 10.1.,3,software,7,looked it up
PMC4898854_JWC01,jackchristen,PMC4898854,supported  by  the  Atlas.ti  6  Softwarepackage.,5,software,10,called software
PMC5112610_HR12,henryrossiter,PMC5112610,s isoform was pasted into DisProt search and showed that it was partly aligned with the disordered region,6,software,10,search function of a database
PMC5210605_CB30,carsonbrown19,PMC5210605,"In ‘Basic Download’
page, the whole data are saved in Microsoft Excel and
TXT formats, users can get them by clicking the download
button",2,software,10,Excel is ofcourse software
PMC1636350_MS93,mjsong1201,PMC1636350,"The best scoresof MUMMALS and the best scores of other programs (ProbCons, MAFFT with different options, MUSCLE, ClustalW) are in bold.",8,software,10,"PROBCONS is an efficient protein multiple sequence alignment program, which has demonstrated a statistically significant improvement in accuracy compared to several leading alignment tools."
PMC5210542_JWC17,jackchristen,PMC5210542,"using embed-ded Gbrowse2. The genomics viewer provides visualizationof RLFS-merged, RLFS, CpG Island, GC skew profile, En-sembl ",3,software,7,looked it up
PMC4027884_RA01,raghu-achukola,PMC4027884,"Additionally, its image was taken by an image scanner, and itsarea was measured using the ImageJ 1.44p software
    (U. S. National Institutes ofHealth, Bethesda, Maryland, USA, http://imagej.nih.gov/ij/, 1997–2012).",5,software,10,says so
PMC3765960_JWC03,jackchristen,PMC3765960,"The microscope was controlled through MPScope 2.0(Nguyen et al., 2006) via a",11,software,7,looked it up
PMC3768955_CT01,ctjoe,PMC3768955,The chitinase activity was assayed in triplicate and the average enzyme activity with standard deviations was measured using software of SPSS 11.5.,3,software,10,Mentioned in article that it was software
PMC1636350_CM86,anneclarisse,PMC1636350,"In several other cases, MUMMALS produces structurally meaningful alignments that are scored very low since they are not consistent with the reference alignments (Supplementary Figure S1).",7,software,10,Google
PMC3044586_JWC02,jackchristen,PMC3044586,"Analyses were performed with the aid of StatisticalPackage for the Social Sciences (SPSS) 12.0, and",2,software,8,looked it up
PMC5098113_JS02,jcsick,PMC5098113,Theselected file was saved as a binary file in MATLAB for furtheranalysis.,3,software,9,MATLAB is a common computing software
PMC3589687_JWC06,jackchristen,PMC3589687,"jquerymobileiswidelyspread,possiblealternativeswithsimilarfea-turesarejQTouchandSenchaTouch.",8,software,8,looked it up
PMC3730412_AN03,ankimnguyen,PMC3730412," Digital images were acquired with a MegaViewIII camera operated with iTEM software (Olympus Soft Imaging Systems, Germany).",11,software,10,Stated in article.
PMC5210605_CB24,carsonbrown19,PMC5210605,"In current version, RNALocate documents
37 772 RNA subcellular localization entries with experimental
evidence from 65 organisms, involving 42 subcellular
localizations (Figure 2) and 9 RNA categories
(including csRNA, lncRNA, mRNA, miRNA, piRNA,
snRNA, rRNA, snoRNA and tRNA) (Figure 3).",2,software,10,rnalocate
PMC2682500_TZ13,realrichardparker,PMC2682500,"he specificity of PCR amplifica-tion was examined by monitoring the dissociation curvesduring  qPCR  reactions  using  the  ABI  PRISM  7000sequence detection system (Applied Biosystems, Courta-boeuf, France)",5,hardware,10,"googling finds the product page for ABI PRISM 7000, a machine for identifying gene sequences"
PMC2626662_JWC10,jackchristen,PMC2626662," followed by maximum-likelihood re-fi nement with the REFMAC 5 program (CCP4 suite) ( 40, 43 ). ",9,software,10,called software
PMC3104442_MS01,mjsong1201,PMC3104442,"Statistical analysis was performed using SPSS software for Windows, version 15.0 (SPSS Inc., Chicago, IL, USA). ",3,software,10,Statistical software
